title,authors,journal,date,abstract,link,source
High Expression of SAMM50 Indicates Poor Clinical Prognosis in Hepatocellular Carcinoma and Represents a Potential Novel Biomarker.,"Zhai Huawei, Cai Banglian, Zheng Zihao",Biological procedures online,2026-07-12,"Identifying diagnostic and prognostic biomarkers and therapeutic targets for hepatocellular carcinoma (HCC) is essential to improve risk stratification, guide individualized treatment, and enhance therapeutic efficacy.The expression of SAMM50 (Sorting and Assembly Machinery Component 50) was initially analyzed in publicly accessible curated genomic and proteomic databases, such as the Cancer Cell ",https://pubmed.ncbi.nlm.nih.gov/42436396/,PubMed
High-efficiency 14-plex cSNP SNaPshot assay for forensic peripheral blood identification.,"Zhao Yixia, Sun Yuting, Wei Siyi",BMC genomics,2026-07-12,"The analysis of body fluid stains found at criminal scenes requires not only DNA profiles but also identification of the composition of these stains, particularly in mixed stains. Prior studies have demonstrated that forensic body fluids can be differentiated by their mRNA biomarkers.In this study, we screened a panel including 14 cSNPs located on four peripheral blood mRNA biomarkers (CD3G, ANK1,",https://pubmed.ncbi.nlm.nih.gov/42436368/,PubMed
MiR-378a-3p Promotes Macrophage Polarization from M1 to M2 for Cardiac Repair after Infarction Via Trem1.,"Shen Ming, Li Tongxuan, Jiang Xuan",Journal of cardiovascular translational research,2026-07-12,"Acute myocardial infarction (AMI) triggers a robust inflammatory response in which macrophage polarization critically influences cardiac repair, yet the regulatory role of microRNAs remains largely undefined. Through integrated analysis of GEO datasets and experimental validation in hypoxic Raw264.7 cells and a mouse AMI model, we identified that miR-378a-3p is significantly downregulated followin",https://pubmed.ncbi.nlm.nih.gov/42436353/,PubMed
Stage wise deterioration mechanism of soy protein isolate during long-term room temperature storage: synergistic effect of key proteins and metabolic pathways.,"Chen Xue, Wang Yuanyuan, Yu Yeping",International journal of biological macromolecules,2026-07-12,"To investigate the effects of long-term storage at room temperature on the structure and functional properties of soy protein isolate (SPI), this study measured the changes in free amino and thiol content, as well as water and oil absorption of SPI during storage, and analyzed its molecular-level response mechanism using proteomics techniques. The results showed that with prolonged storage time, t",https://pubmed.ncbi.nlm.nih.gov/42435872/,PubMed
"Differential thermal stability of mRNA, miRNA and lncRNA in purified human tissue-derived RNA extracts: a proof-of-principle study with forensic implications.","Yang Qingxin, Zhang Shuyuan, Li Suyu","Legal medicine (Tokyo, Japan)",2026-07-12,"RNA-based markers hold considerable potential for forensic transcriptomics applications, yet their practical use is constrained by heterogeneous RNA degradation under environmental stress conditions. The thermal stability profiles of different RNA classes in degraded biological samples remain incompletely characterized. Here, we established an in vitro thermal degradation model using commercially ",https://pubmed.ncbi.nlm.nih.gov/42435679/,PubMed
Identification of CTHRC1 as a Potential Prognostic Biomarker in Esophageal Squamous Cell Carcinoma by Bioinformatics Analysis.,"Li Shuoguoli, Kang Yongan, Qi Yijun",Translational oncology,2026-07-12,"Esophageal squamous cell carcinoma (ESCC) carries one of the highest case-fatality rates among gastrointestinal malignancies, owing in part to the scarcity of molecularly validated prognostic indicators. Collagen triple helix repeat containing 1 (CTHRC1), a secreted glycoprotein implicated in matrix remodeling across multiple tumor types, has yet to be systematically interrogated in ESCC. The pres",https://pubmed.ncbi.nlm.nih.gov/42435533/,PubMed
"Glycodeoxycholic and deoxycholic bile acids impair recognition and spatial memory in adult mice, and reduce central CREB-BDNF signaling and cytokine expression with neuroanatomical specificity.","Garcia Ana, Trivedi Dakshat, Anthony Daniel C",Gut microbes,2026-07-12,"Emerging evidence suggests that bile acids, traditionally recognized for their role in digestion, also influence brain function and memory. This study examined the effects of two microbiota-derived secondary bile acids, deoxycholic acid (DCA) and glycodeoxycholic acid (GDCA), on memory in mice and the associated molecular mechanisms. Male and female mice received daily oral administration of DCA, ",https://pubmed.ncbi.nlm.nih.gov/42435326/,PubMed
Evaluation of high-fat diet-induced metabolic impairments in iBAT lipid metabolism using ,"Rengaraj Anantharaj, Le Giang Thi Thu, Dharmashekar Chandan","Magma (New York, N.Y.)",2026-07-12,"High-fat diet (HFD) feeding impairs interscapular brown adipose tissue (iBAT) mitochondrial function, leading to lipid accumulation and insulin resistance. To evaluate HFD-induced metabolic impairments in iBAT lipid metabolism using  Male Wistar rats (n = 20) were fed either chow diet (CD) or HFD for eight weeks followed by maintained thermoneutral or cold-exposed conditions for two weeks. Lipid c",https://pubmed.ncbi.nlm.nih.gov/42435257/,PubMed
IGF2BP1 modulates ZDHHC5-mediated NLRP3 inflammasome activation to promote mitochondrial damage and foam cell formation of vascular smooth muscle cells.,"Zhang Yunqing, Yang Qian, Sui Zheng",Inflammation research : official journal of the European Histamine Research Society ... [et al.],2026-07-12,"Smooth muscle-derived foam cell formation is a key to atherosclerosis (AS) development. Mitochondrial damage is involved in AS pathogenesis S. Here, effects of ZDHHC5 on mitochondrial damage and foam cell formation of vascular smooth muscle cells were evaluated. Expressions of mRNA and protein were determined by RT-qPCR and Western blot. ORO and Nile red staining evaluated foam cell formation. Mit",https://pubmed.ncbi.nlm.nih.gov/42435226/,PubMed
INHBA secreted by cancer-associated fibroblasts promotes cisplatin resistance and malignant progression of ovarian cancer via ENG-mediated suppression of apoptosis and induction of EMT.,"Liu Xinyue, Han Yan, Qin Zhichao",Journal of translational medicine,2026-07-12,"Platinum resistance remains a major cause of treatment failure in ovarian cancer (OC). Cancer-associated fibroblasts (CAFs), key components of the tumor microenvironment, play critical roles in OC progression. Inhibin subunit beta A (INHBA) and its putative receptor endoglin (ENG) have been linked to OC chemoresistance, but their functional interaction in mediating cisplatin resistance remains unc",https://pubmed.ncbi.nlm.nih.gov/42436560/,PubMed
